Env_code,Rep,Entry,RIL_ID,FTdap,FTgdd
IA13,1,5,RIL5,85,1890.5
IA13,1,6,RIL6,80,1748
IA13,1,7,RIL7,93,2107
IA13,1,8,RIL8,88,1985.5
IA13,1,9,RIL9,83,1829.5
IA13,1,10,RIL10,89,2017.5
IA13,1,11,RIL11,80,1748
IA13,1,12,RIL12,94,2130.5
IA13,1,13,RIL13,84,1859
IA13,1,14,RIL14,85,1890.5
IA13,1,15,RIL15,86,1923
IA13,1,16,RIL16,77,1673.5
IA13,1,17,RIL17,97,2212
IA13,1,18,RIL18,70,1555
IA13,1,19,RIL19,87,1954.5
IA13,1,20,RIL20,83,1829.5
IA13,1,21,RIL21,73,1611
IA13,1,22,RIL22,90,2048
IA13,1,23,RIL23,86,1923
IA13,1,24,RIL24,81,1777
IA13,1,25,RIL25,78,1693.5
IA13,1,27,RIL27,70,1555
IA13,1,28,RIL28,88,1985.5
IA13,1,29,RIL29,78,1693.5
IA13,1,30,RIL30,78,1693.5
IA13,1,31,RIL31,89,2017.5
IA13,1,32,RIL32,88,1985.5
IA13,1,33,RIL33,82,1802
IA13,1,34,RIL34,87,1954.5
IA13,1,35,RIL35,81,1777
IA13,1,36,RIL36,94,2130.5
IA13,1,37,RIL37,83,1829.5
IA13,1,38,RIL38,83,1829.5
IA13,1,39,RIL39,73,1611
IA13,1,40,RIL40,78,1693.5
IA13,1,41,RIL41,84,1859
IA13,1,42,RIL42,79,1719.5
IA13,1,43,RIL43,85,1890.5
IA13,1,44,RIL44,86,1923
IA13,1,45,RIL45,71,1579
IA13,1,46,RIL46,84,1859
IA13,1,47,RIL47,82,1802
IA13,1,48,RIL48,78,1693.5
IA13,1,49,RIL49,81,1777
IA13,1,50,RIL50,87,1954.5
IA13,1,51,RIL51,83,1829.5
IA13,1,52,RIL52,93,2107
IA13,1,53,RIL53,78,1693.5
IA13,1,54,RIL54,86,1923
IA13,1,55,RIL55,75,1639.5
IA13,1,56,RIL56,83,1829.5
IA13,1,57,RIL57,77,1673.5
IA13,1,58,RIL58,84,1859
IA13,1,59,RIL59,68,1515
IA13,1,60,RIL60,81,1777
IA13,1,61,RIL61,79,1719.5
IA13,1,62,RIL62,75,1639.5
IA13,1,63,RIL63,82,1802
IA13,1,64,RIL64,81,1777
IA13,1,65,RIL65,82,1802
IA13,1,66,RIL66,84,1859
IA13,1,68,RIL68,80,1748
IA13,1,69,RIL69,90,2048
IA13,1,70,RIL70,79,1719.5
IA13,1,71,RIL71,77,1673.5
IA13,1,72,RIL72,82,1802
IA13,1,73,RIL73,94,2130.5
IA13,1,74,RIL74,94,2130.5
IA13,1,75,RIL75,85,1890.5
IA13,1,76,RIL76,88,1985.5
